id,operation,sub operation,specific location,department,title,description,immediate action taken,date of occurrence,issue_category,reporting_period,observation_category
98923,Angola,Field Facilities,Muconda Guest house,Accommodation (Company Owned),Good housekeeping,Was identified a big improvement in the general housekeeping in the guest houses.,team informed.,2026-05-12T00:00:00.000Z,Safety,Mid-Month,Positive Observation
98922,Angola,Field Facilities,Muconda guest house,Kitchen,Slipery floor,"The floor around the oven was slippery, probably due to residual cooking oil, and had not been properly cleaned.",The cleaning staff were informed and subsequently cleaned it thoroughly.,2026-05-12T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98877,Angola,Company Offices,Office,Facility & Infrastructure,The elevator button base on the ground floor was loose.,"As I was pressing the button to call the elevator, I noticed a clicking metal noise. In a close inspection a realized that the base of the button was loose. I believe if it left unattended it could fall or damaged somehow, making the elevators out of order (not able to call from the ground floor.)","I have immediate reported to the building maintenance team, and they were able to fix it properly.
",2026-05-12T00:00:00.000Z,Other,Mid-Month,Negative Observation
98874,Angola,Transport Activities,Saurimo road,Light Vehicles,Driving up to speed,"On the Saurimo–Muconda route, the Omega driver reduced speed only while descending a 10% slope.","The hazard was observed, and immediate attention was called to it at the time.",2026-05-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98860,RSA Support Services,Field Laboratories, Analytical,Offices & Recreation,Housekeeping Observation – AutoSEM Compressor Shelter,"The shelter for the AutoSEM compressor was found to have leaves and dirt accumulation. A request was made for the area to be cleaned to ensure it is kept free from dust and debris.
Regular housekeeping is important to maintain a clean and safe working environment.",A request was made for the area to be cleaned to ensure it is kept free from dust and debris. Email sent to Empact.,2026-05-13T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98850,RSA Support Services,Field Laboratories,STC,Treatment & Processing,Observation,one of the lights in the LST lab is not working,Reported to the supervisor,2026-05-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
98763,RSA Support Services,Field Laboratories, Recovery lab,Sorting & Analysis,Remus safely installed all the MDL equipment in the IMLR,Remus safely installed all the microscopes and camera in the IMLR. He also moved the cameras from the old classification section to the main lab. He followed the lifting technique; he had the correct signs for conducting work.,Informed the Technical manager and maintenance supervisor of the work done and thanked for the safe work.,2026-05-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98757,Angola,Field Activities,Muconda SE (drill site 199_X005_H001),Drilling (Core & LLD),Broken tool parts at the site,"The team uses inappropriate tools for tasks (e.g. broken head of a wrench used for breaking core, instead of a hammer)",It was brought to the supervisor's attention and the piece was removed. Team was alerted of this.,2026-05-09T00:00:00.000Z,Other,Beginning,Negative Observation
98510,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),A Spider found inside the guard room.,A Spider found inside the guard room.,The team advised to continually maintain good housekeeping in the guardroom so as to avoid creatures hiding inside. The SLAM is also emphasized.,2026-05-07T00:00:00.000Z,Safety,Beginning,Negative Observation
98509,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),A spider spotted in the kitchen during cleanup campaign.,A spider spotted in the kitchen during cleanup campaign.,The team notified of the presence of creatures around this time of the year. The importance of SLAM reinforced.,2026-05-07T00:00:00.000Z,Safety,Beginning,Negative Observation
98508,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),A Scorpion spotted during camp patrol.,A Scorpion spotted during camp patrol.,"The team advised to always SLAM, and more importantly, the use of closed shoes and PPE reinforced in the camp.",2026-05-05T00:00:00.000Z,Safety,Beginning,Negative Observation
98507,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),Wasp nests found around the workshop area.,Wasp nests found around the workshop area. This were picked during a camp patrol by Security Officer.,The team alerted and advised remaining vigilant when making walkabouts in the camp. The importance of SLAM emphasized.,2026-05-04T00:00:00.000Z,Safety,Beginning,Negative Observation
98506,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),Security Officers onsite voluntarily trim (cut) the overhanging tree branches that pose safety risks to camp occupants.,Security Officers onsite voluntarily trim (cut) the overhanging tree branches that pose safety risks to camp occupants.,The team onsite recognized for the valuable contribution they make towards achieving a safe work place.,2026-05-04T00:00:00.000Z,Other,Beginning,Negative Observation
98505,Botswana,Field Facilities,Tsabong Field Camp,Accommodation (Company Owned),A Scorpion found underneath the dustbin in the ablution block.,A Scorpion found underneath the dustbin in the ablution block.,"The team advised to always be vigilant when picking up items, and more importantly to always SLAM. The scorpion safely removed from the ablution block.",2026-05-04T00:00:00.000Z,Safety,Beginning,Negative Observation
98504,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),"Over extended and dead tree branches, likely to snap and fall into a person, or blocking the pathway.","Over extended and dead tree branches, likely to snap and fall into a person, or blocking the pathway.",The overhanging branches were trimmed.,2026-05-03T00:00:00.000Z,Other,Beginning,Negative Observation
98503,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),Office block entrance ceiling fell down.,Office block entrance ceiling fell down.,The Operation Support team notified.,2026-05-01T00:00:00.000Z,Other,Beginning,Negative Observation
98438,Angola,Field Facilities,Muconda drill camp,Accommodation (Tented),Cracked bowl,It was observed that on the shelf a glass serving bowls was cracked.,It was removed and disposed of,2026-05-01T00:00:00.000Z,Other,Beginning,Negative Observation
98437,Angola,Field Facilities,Muconda drill camp,Accommodation (Tented),Lots of ants,"after the rains there is a big increase in the ant activity at the camps, lots of ants arrount the kitchen area and other areas",the situation is being managed with insect spray and has improved,2026-05-01T00:00:00.000Z,Other,Beginning,Negative Observation
98436,Angola,Field Facilities,Muconda Drill camp,Accommodation (Tented),Water pump not working,The water pump managing the kitchen waste water started tripping the electricity,It was reported to the Opps team and the pump was replaced,2026-05-02T00:00:00.000Z,Environmental,Beginning,Negative Observation
98433,Angola,Company Offices,  Basement 1,Office Activities,Driver with low capacity to reverse park,"A user of the basement park space, has been showing to have difficulties to reverse park.
And today did create a situation where it could have lead to a traffic jam in the basement.","Observation, was firts spoken on the safety meeting held every wednesday, and then reported to the building management office.",2026-05-06T00:00:00.000Z,Safety,Beginning,Negative Observation
98432,RSA Support Services,Field Laboratories,IML Maintenance workshop,Workshops,cold weather impact on maintenance workshop activities,notice during a planned activity how challenging it is becoming to operate thread cutting or lathe equipment. You cannot operate this equipment with gloves due to the low gearing on the rotating components.,Stopped with our work and had a discussion around being aware of these type of components and how these cold climate and behavior changes on winter.,2026-05-06T00:00:00.000Z,Other,Beginning,Negative Observation
98431,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Community throwing rubbish over the fence,It was noted that Community or children have been throwing rubbish over the fence near the back of the camp,"It was reported to Omega to place a guard in this area, and the litter was cleaned up",2026-05-06T00:00:00.000Z,Safety,Beginning,Negative Observation
98422,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Hygienic Conditions,"Cross Contamination of meat in freezer - R1 Kitchen chicken, pork and beef mixed loosely on one site (not in bags) and tripe meat on the other side",Informed responsible person immediately,2026-04-16T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98421,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Hygienic Conditions,No Hygiene signage/awareness posters displayed (requiring washing of hands after using toilet and prior to eating in place at toilet and mess / kitchen),Informed Responsible person,2026-04-16T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
98419,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Hygienic Conditions,"No Deep cleaning in Kitchen, changeroom, laundry
Cupboards need to be cleaned, handles and doors very sticky
No Non-slip mats in wet area",Informed responsible person,2026-04-16T00:00:00.000Z,Other,Mid-Month,Negative Observation
98418,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Hygienic Conditions,"Cook is wearing a plastic bag on his head, no catering cap available",Informed responsible person,2026-05-06T00:00:00.000Z,Other,Beginning,Negative Observation
98417,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Structural conditions,"Additional Illumination required for the parking area as the premises is very dark during the night. Lights in front of at L1 and main tv room not working, Laundry Room, Both Toilets, lights not working, Blown lights to be replaced and investigate additional areas for more illumination
Laundry Toilets - no toilet seat on both toilets 
Few windows of the bathrooms does not close and L1 Back bedroom has no door handle on bathroom 
L1 Kitchen - Unidentified exposed wires inside cupboard
R1 Kitchen - Plug Point loose 
Main DB on Premises - back plate loose and not locked 
User DB - not properly labelled.

",Informed Responsible person,2026-04-16T00:00:00.000Z,Other,Mid-Month,Negative Observation
98416,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Environmental Mangement,"No Safety Data Sheets available at Muconda House 
No Chemical Inventory 
No Signage and volume are displayed at chemical storage areas 
No Chemical Store Access controlled 
Unmarked container found at Generator",Informed the responsible person,2026-04-16T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98415,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Environmental Management,"Gas cylinders in cage not chained and cylinder at oil store not chained 
Generator - no drip tray available for stored chemicals",Informed responsible person,2026-04-16T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98414,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Communication and Notice Boards,"Not Notice board available that display the following: De Beers Values, SHE Policy, Employee Assistance Program (EAP), ERP, etc. Safety Meeting Minutes, Workplace Inspections, SHEC Alerts, HIV AIDS, Typhoid, Malaria, Snake and other awareness posters/ information appropriate to the location",Informed the responsible person,2026-05-06T00:00:00.000Z,Safety,Beginning,Negative Observation
98413,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Emergency Prepardness,Hand Siren Tested and Working,Positive observation,2026-04-16T00:00:00.000Z,Other,Mid-Month,Negative Observation
98412,Angola,Field Facilities,Muconda House,Accommodation (Third Party),Emergency Response,"No Emergency Response Plan at Muconda House 
No Organogram displayed 
No Noticed board with list displayed 
No AED onsite
",Informed the responsible person,2026-04-16T00:00:00.000Z,Emergency Preparedness,Mid-Month,Negative Observation
98411,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,No Pest Control Register in place,Informed responsible person,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98410,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,"OFI - Due to fly camp, a lot of flies are in the dining area and kitchen area",Informed the responsible person,2026-04-14T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
98409,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,"Wi-Fi Storeroom - Bag with chicken meat in freezer, no indication of when it has been delivered or how old it is",Informed the responsible person,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98408,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,No Posters displayed in Toilets of Hygienic practices,Informed the responsible person,2026-05-06T00:00:00.000Z,Other,Beginning,Negative Observation
98407,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,"Store Room - Poor stacking on shelves, weight is to much it has bended the shelves 
Kitchen Area - Stacking on top of locker to be removed",Reported to Responsible Person,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98406,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienic Conditions,"Kitchen area and Kitchen Container - very unhygienic. Extractor Fan, Light Covers, Cupboards and plugs need to be properly cleaned",Informed responsible Person,2026-05-06T00:00:00.000Z,Other,Beginning,Negative Observation
98405,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygiene Conditions,No Deep cleaning conducted,Informed Responsible Person,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98404,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Tented),Hygienie Conditions,Good Control over Food,Positive observations,2026-05-06T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
98403,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Hygiene Conditions,Kitchen Container - Chemicals and Consumables MIXED,Reported to responsible person,2026-04-14T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98402,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Eletrical Installations,"All User DB are not labelled (Laundry, Office,  Office, Medical Station, etc.)
Men's Toilet light not working 
",Reported to responsible person,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98401,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Unsafe Act,Found a cleaner standing on a chair to clean the top walls in the showers,Stopped the cleaner and coached him,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98400,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Fly Camp Equipment,Storage Tent - Damaged machete has been identified,Asked the employees to bend it and discard it,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98399,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Fly Camp Equipment,Damaged chair found in front of the Tent,Broken Chair was removed and legs broken off to be discarded,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98398,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Environmental Management,"Unidentified waste bins next to Laundry 
Unmarked containers in Laundry Room",Reported to responsible person,2026-04-14T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98397,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Environmental Mangement,"Chemicals not stored in a secured area
Storage Tent - Chemicals stored on ground with no preventative measures to prevent spillage 
No Safety Data Sheets for any Chemicals used at Camp 
No Inventory List available at the camp 
Generator has a Plastic Tarp Underneath, no preventation in case of rain
No Signs Displayed
No Access control
",Repsonisble person has been informed,2026-05-06T00:00:00.000Z,Environmental,Beginning,Negative Observation
98396,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Communication and Notice Boards,"No Noticeboard with the following displayed Companys Values, SHE Policy, Employee Assistance Program (EAP), ERP, etc., Safety Meeting Minutes, Workplace Inspections, SHEC Alerts, HIV AIDS, Typhoid, Malaria, Snake and other awareness posters/ information appropriate to the location",Reported to responsible person,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98395,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Fly Camp Housekeeping,Tent Bags are left on the fire break wall,"Informed responsible person, and was removed",2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98394,Angola,Field Facilities,Muconda House,Accommodation (Company Owned),Camp perimeter,Fire break at the  Tents are less than a meter in width,Informed responsible person,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98393,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Emergency Prepardness,Roll call list not available,Informed responsible person,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98392,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Emergency Prepardness,Good Control over Medication,Informed responsible person,2026-05-06T00:00:00.000Z,Other,Beginning,Negative Observation
98391,Angola,Field Activities,Muconda Fly Camp,Other,Emergency Prepardness,"During the day, The paramedic was called over the radio, however no response as the only radio is in the ambulance and the paramedic is not always in ambulance","After discussion with relevant parties, a portable radio was given to the current onsite paramedic as he is sitting in the office",2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98390,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Environmental Managerment,No Spill kit available at the camp,Reported to responsible person,2026-04-14T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98389,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Medical Office,Floor Unstable when walking in container,Reported to responsible persons,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
98387,Angola,Field Facilities,Muconda Fly Camp,Accommodation (Company Owned),Fire Equipment,Fire extinguisher stored on the ground next to the tents in direct sunlight and rain at Mitchell Drilling Side,Reported to responsible person,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98386,Angola,Field Activities,Muconda Fly Camp,Drilling (Core & LLD),Emergency Response,"No ERP available or posted. No Camp Layout available 
No ERT Displayed",Informed responsible person,2026-04-14T00:00:00.000Z,Emergency Preparedness,Mid-Month,Negative Observation
98350,Angola,Field Activities,Mitchell Drilling,Drilling (Core & LLD),Safety Data Sheets,No Safety Data Sheets could be produced during the audit,Reported to SHE Rep of Mitchell,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
